clipno_overall,run,clipno_in_run,clip_name,start_tr,stop_tr
1,MOVIE1_7T_AP,1,1,0,20
2,MOVIE2_7T_PA,2,2,0,20
3,MOVIE3_7T_PA,3,3,0,20
4,MOVIE4_7T_AP,4,4,0,20
